Step,man_Phil_T29_g_Full_Registration – train/learning_rate_base one cycle LR,man_Phil_T10_Registration - train/learning rate Step LR
1,1.23887103832513E-05,0.001
2,1.93012443198918E-05,0.001
3,3.00037332948535E-05,0.001
4,4.33599485729752E-05,0.001
5,5.79519288157776E-05,0.001
6,7.22305178135637E-05,0.001
7,8.46798305086806E-05,0.001
8,9.39781867900541E-05,0.001
9,9.91384275378406E-05,0.001
10,9.99967455929596E-05,0.001
11,9.99603011754744E-05,0.0005
12,9.98834436284989E-05,0.0005
13,9.97662351847571E-05,0.0005
14,9.96087707497074E-05,0.0005
15,9.94111778246963E-05,0.0005
16,9.91736164037187E-05,0.0005
17,9.88962788438679E-05,0.0005
18,9.85793897095817E-05,0.0005
19,9.82232055908088E-05,0.0005
20,9.7828014895244E-05,0.0005
21,9.73941376148004E-05,0.00025
22,9.69219250665068E-05,0.00025
23,9.64117596080413E-05,0.00025
24,9.58640543281297E-05,0.00025
25,9.52792527120625E-05,0.00025
26,9.4657828282597E-05,0.00025
27,9.40002842165392E-05,0.00025
28,9.33071529373142E-05,0.00025
29,9.25789956838539E-05,0.00025
30,9.18164020561546E-05,0.00025
31,9.10199895378679E-05,0.000125
32,9.01904029963151E-05,0.000125
33,8.93283141603286E-05,0.000125
34,8.84344210763424E-05,0.000125
35,8.75094475431736E-05,0.000125
36,8.65541425259517E-05,0.000125
37,8.55692795496693E-05,0.000125
38,8.45556560728483E-05,0.000125
39,8.35140928418247E-05,0.000125
40,8.24454332261782E-05,0.000125
41,8.13505425358431E-05,6.25E-05
42,8.02303073204536E-05,6.25E-05
43,7.90856346514909E-05,6.25E-05
44,7.79174513878139E-05,6.25E-05
45,7.67267034251675E-05,6.25E-05
46,7.55143549302761E-05,6.25E-05
47,7.42813875601435E-05,6.25E-05
48,7.30287996671904E-05,6.25E-05
49,7.17576054908726E-05,6.25E-05
50,7.04688343364368E-05,6.25E-05
51,6.91635297414758E-05,3.125E-05
52,6.78427486309606E-05,3.125E-05
53,6.65075604614319E-05,3.125E-05
54,6.51590463550454E-05,3.125E-05
55,6.37982982241701E-05,3.125E-05
56,6.24264178872508E-05,3.125E-05
57,6.10445161766486E-05,3.125E-05
58,5.96537120391833E-05,3.125E-05
59,5.82551316301051E-05,3.125E-05
60,5.68499074012292E-05,3.125E-05
61,5.54391771839731E-05,1.5625E-05
62,5.40240832680365E-05,1.5625E-05
63,5.26057714764723E-05,1.5625E-05
64,5.11853902378964E-05,1.5625E-05
65,4.9764089656587E-05,1.5625E-05
66,4.83430205812285E-05,1.5625E-05
67,4.69233336730512E-05,1.5625E-05
68,4.55061784741237E-05,1.5625E-05
69,4.4092702476551E-05,1.5625E-05
70,4.2684050193333E-05,1.5625E-05
71,4.12813622316347E-05,7.8125E-06
72,3.98857743692193E-05,7.8125E-06
73,3.84984166347918E-05,7.8125E-06
74,3.71204123929973E-05,7.8125E-06
75,3.57528774348158E-05,7.8125E-06
76,3.43969190740893E-05,7.8125E-06
77,3.30536352509128E-05,7.8125E-06
78,3.17241136426157E-05,7.8125E-06
79,3.04094307830526E-05,7.8125E-06
80,2.9110651190918E-05,7.8125E-06
81,2.78288265077889E-05,3.90625E-06
82,2.65649946465946E-05,3.90625E-06
83,2.53201789512033E-05,3.90625E-06
84,2.40953873678044E-05,3.90625E-06
85,2.28916116287599E-05,3.90625E-06
86,2.17098264495826E-05,3.90625E-06
87,2.05509887396951E-05,3.90625E-06
88,1.94160368276054E-05,3.90625E-06
89,1.83058897011276E-05,3.90625E-06
90,1.72214462632642E-05,3.90625E-06
91,1.61635846043501E-05,1.953125E-06
92,1.51331612910499E-05,1.953125E-06
93,1.41310106727827E-05,1.953125E-06
94,1.31579442061366E-05,1.953125E-06
95,1.22147497978201E-05,1.953125E-06
96,1.1302191166682E-05,1.953125E-06
97,1.04210072253166E-05,1.953125E-06
98,9.57191148175527E-06,1.953125E-06
99,8.75559146172754E-06,1.953125E-06
100,7.97270815196159E-06,1.953125E-06
